x,y
426889.5,914119.5
426892.5,914119.5
426895.5,914119.5
426898.5,914119.5
426901.5,914119.5
426904.5,914119.5
426907.5,914119.5
426910.5,914119.5
426913.5,914119.5
426916.5,914119.5
426919.5,914119.5
426922.5,914119.5
426925.5,914119.5
426928.5,914119.5
426931.5,914119.5
426934.5,914119.5
426937.5,914119.5
426940.5,914119.5
426943.5,914119.5
426946.5,914119.5
426949.5,914119.5
426952.5,914119.5
426955.5,914119.5
426958.5,914119.5
426961.5,914119.5
426964.5,914119.5
426967.5,914119.5
426970.5,914119.5
426973.5,914119.5
426976.5,914119.5
426979.5,914119.5
426982.5,914119.5
426985.5,914119.5
426988.5,914119.5
426991.5,914119.5
426994.5,914119.5
426997.5,914119.5
427000.5,914119.5
427003.5,914119.5
427006.5,914119.5
427009.5,914119.5
427012.5,914119.5
427015.5,914119.5
427018.5,914119.5
427021.5,914119.5
427024.5,914119.5
427027.5,914119.5
427030.5,914119.5
427033.5,914119.5
427036.5,914119.5
427039.5,914119.5
427042.5,914119.5
427045.5,914119.5
427048.5,914119.5
427051.5,914119.5
427054.5,914119.5
427057.5,914119.5
427060.5,914119.5
427063.5,914119.5
427066.5,914119.5
427069.5,914119.5
427072.5,914119.5
427075.5,914119.5
427078.5,914119.5
427081.5,914119.5
427084.5,914119.5
427087.5,914119.5
427090.5,914119.5
427093.5,914119.5
427096.5,914119.5
427099.5,914119.5
427102.5,914119.5
427105.5,914119.5
427108.5,914119.5
427111.5,914119.5
427114.5,914119.5
427117.5,914119.5
427120.5,914119.5
427123.5,914119.5
427126.5,914119.5
427129.5,914119.5
427132.5,914119.5
427135.5,914119.5
427138.5,914119.5
427141.5,914119.5
427144.5,914119.5
427147.5,914119.5
427150.5,914119.5
427153.5,914119.5
427156.5,914119.5
427159.5,914119.5
427162.5,914119.5
427165.5,914119.5
427168.5,914119.5
427171.5,914119.5
427174.5,914119.5
427177.5,914119.5
427180.5,914119.5
427183.5,914119.5
427186.5,914119.5
427189.5,914119.5
427192.5,914119.5
427195.5,914119.5
427198.5,914119.5
427201.5,914119.5
427204.5,914119.5
427207.5,914119.5
427210.5,914119.5
427213.5,914119.5
427216.5,914119.5
427219.5,914119.5
427222.5,914119.5
427225.5,914119.5
427228.5,914119.5
427231.5,914119.5
427234.5,914119.5
427237.5,914119.5
427240.5,914119.5
427243.5,914119.5
427246.5,914119.5
427249.5,914119.5
427252.5,914119.5
427255.5,914119.5
427258.5,914119.5
427261.5,914119.5
427264.5,914119.5
427267.5,914119.5
427270.5,914119.5
427273.5,914119.5
427276.5,914119.5
427279.5,914119.5
427282.5,914119.5
427285.5,914119.5
427288.5,914119.5
427291.5,914119.5
427294.5,914119.5
427297.5,914119.5
427300.5,914119.5
427303.5,914119.5
427306.5,914119.5
427309.5,914119.5
427312.5,914119.5
427315.5,914119.5
427318.5,914119.5
427321.5,914119.5
427324.5,914119.5
427327.5,914119.5
427330.5,914119.5
427333.5,914119.5
427336.5,914119.5
427339.5,914119.5
427342.5,914119.5
427345.5,914119.5
427348.5,914119.5
427351.5,914119.5
427354.5,914119.5
427357.5,914119.5
427360.5,914119.5
427363.5,914119.5
427366.5,914119.5
427369.5,914119.5
427372.5,914119.5
427375.5,914119.5
427378.5,914119.5
